name,formatted_address,rating,website,opening_hours,cuisine
Restaurante Oaxaca,"5101 W 38th St, Indianapolis, IN 46224, USA",4.5,,"['Monday: 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Tuesday: 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Wednesday: 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 4:00\u202fPM\u2009–\u20094:00\u202fAM', 'Saturday: 4:00\u202fPM\u2009–\u20094:00\u202fAM', 'Sunday: Closed']",
Taqueria Los Potrillos,"8925 42nd St, Indianapolis, IN 46226, USA",4.5,,"['Monday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 3:00\u2009–\u200911:00\u202fPM']",
SPANGLISH FACTORY Peruvian & Puertorican fusion,"9605 Pendleton Pike, Indianapolis, IN 46236, USA",4.5,https://spanglish-factory.square.site/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 4:00\u2009–\u20099:00\u202fPM', 'Saturday: 3:00\u2009–\u20099:00\u202fPM', 'Sunday: Closed']","Peruvian, Puerto Rican"
The Coney Lady,"3827 N Mitthoefer Rd B13, Indianapolis, IN 46235, USA",4.5,,,
Tortas Guicho Food Truck,"S. East St and, Fletcher Ave, Indianapolis, IN 46204, USA",4.5,,"['Monday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",
Mi Lindo Pénjamo - Food Truck,"7910 Michigan Rd, Indianapolis, IN 46268, USA",4.5,https://store.kahero.co/milindopenjamo,"['Monday: Closed', 'Tuesday: 7:30\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:30\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 7:30\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 7:30\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: Closed', 'Sunday: Closed']",Tacos
Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",4.5,https://www.facebook.com/peregrino1982/,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 5:00\u202fPM\u2009–\u20091:00\u202fAM', 'Thursday: 5:00\u202fPM\u2009–\u20091:00\u202fAM', 'Friday: 5:00\u202fPM\u2009–\u20094:00\u202fAM', 'Saturday: 5:00\u202fPM\u2009–\u20094:00\u202fAM', 'Sunday: 5:00\u202fPM\u2009–\u20091:00\u202fAM']",
FELIX TACOS TRUCK,"3145 W Washington St, Indianapolis, IN 46222, USA",4.5,,"['Monday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 5:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 5:00\u202fPM\u2009–\u200912:00\u202fAM']",
TACOPOLIS (LA CAPITAL DEL TACO),"4857 W 38th St, Indianapolis, IN 46254, USA",4.4,https://www.instagram.com/tacopolisin/?hl=en,"['Monday: Closed', 'Tuesday: 3:00\u2009–\u200911:30\u202fPM', 'Wednesday: 3:00\u2009–\u200911:30\u202fPM', 'Thursday: 3:00\u2009–\u200911:30\u202fPM', 'Friday: 2:30\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 2:30\u202fPM\u2009–\u200912:30\u202fAM', 'Sunday: Closed']",Tacos
T'Days Jerk,"36 E Troy Ave, Indianapolis, IN 46225, USA",4.4,http://tdaysjerk.com/,,
